dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
20_Täschneretal__2023__training_23_seed8808_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,79,1,0.22,C,0.8243508084272415,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9644781969622734,0.9987468671679198,True,False,False,,0.0,0.8243508084272415,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_24_seed2223_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,79,1,0.22,C,0.8241058304752572,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9625183733463988,0.9987468671679198,True,False,False,,0.0,0.8241058304752572,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_25_seed6368_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,85,1,0.16,C,0.8243508084272415,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9620284174424302,0.9987468671679198,True,False,False,,0.0,0.8243508084272415,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_26_seed7433_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,80,1,0.21,C,0.8265556099951005,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9630083292503675,0.9987468671679198,True,False,False,,0.0,0.8265556099951005,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_27_seed6079_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,76,1,0.25,C,0.8255756981871631,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9617834394904459,0.9987468671679198,True,False,False,,0.0,0.8255756981871631,0.9912280701754386,True,False,False,,0
25_Xuetal__2022__training_40_seed7771_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,95,1,0.06,B,0.5517454433117084,1.0,True,0.5708989805375347,1.0,True,False,False,,0.0,0.5517454433117084,1.0,True,False,False,,0.0,0.5322829780661106,1.0,True,False,False,,0
25_Xuetal__2022__training_41_seed1100_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,91,1,0.1,B,0.5508186592523941,1.0,True,0.570281124497992,1.0,True,False,False,,0.0,0.5508186592523941,1.0,True,False,False,,0.0,0.5313561940067965,1.0,True,False,False,,0
25_Xuetal__2022__training_42_seed9140_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,87,1,0.14,C,0.5276490577695397,1.0,True,0.5665739882607352,1.0,True,False,False,,0.0,0.5471115230151374,1.0,True,False,False,,0.0,0.5276490577695397,1.0,True,False,True,0.0035587188612099642,1
25_Xuetal__2022__training_43_seed1399_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,90,1,0.11,C,0.5295026258881681,1.0,True,0.5684275563793636,1.0,True,False,False,,0.0,0.5489650911337658,1.0,True,False,False,,0.0,0.5295026258881681,1.0,True,False,False,,0
25_Xuetal__2022__training_44_seed9090_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,94,1,0.07,B,0.5508186592523941,1.0,True,0.570281124497992,1.0,True,False,False,,0.0,0.5508186592523941,1.0,True,False,False,,0.0,0.42971887550200805,0.9679715302491103,True,False,False,,0
25_Xuetal__2022__training_45_seed7076_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,96,1,0.05,A,0.5647204201421069,1.0,True,0.5647204201421069,1.0,True,False,False,,0.0,0.5455668829162805,1.0,True,False,False,,0.0,0.4263206672845227,0.9679715302491103,True,False,False,,0
25_Xuetal__2022__training_46_seed1583_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,93,1,0.08,B,0.5532900834105653,1.0,True,0.5727525486561631,1.0,True,False,False,,0.0,0.5532900834105653,1.0,True,False,False,,0.0,0.5338276181649676,1.0,True,False,False,,0
25_Xuetal__2022__training_47_seed6106_LR_SBERT_complete_results_key1.csv,LR_SBERT,3237,281,280,91,1,0.1,B,0.5480383070744517,1.0,True,0.5675007723200495,1.0,True,False,False,,0.0,0.5480383070744517,1.0,True,False,False,,0.0,0.5285758418288539,1.0,True,False,True,0.0035587188612099642,1
20_Täschneretal__2023__training_05_seed3831_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,86,1,0.15,C,0.8265556099951005,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9644781969622734,0.9987468671679198,True,False,False,,0.0,0.8265556099951005,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_06_seed7725_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,82,1,0.19,C,0.8238608525232729,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9620284174424302,0.9987468671679198,True,False,False,,0.0,0.8238608525232729,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_07_seed411_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,85,1,0.16,C,0.8258206761391474,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9637432631063204,0.9987468671679198,True,False,False,,0.0,0.8258206761391474,0.9912280701754386,True,False,False,,0
20_Täschneretal__2023__training_08_seed5375_LR_SBERT_complete_results_key1.csv,LR_SBERT,4082,798,797,80,1,0.21,C,0.8265556099951005,0.9912280701754386,True,1.0,1.0,True,False,False,,,0.9617834394904459,0.9987468671679198,True,False,False,,0.0,0.8265556099951005,0.9912280701754386,True,False,False,,0
