dataset_file,algorithm,total_abstracts,total_relevant,total_relevant_in_screening_set,training_size,training_relevant,training_prevalence_estimate,band_selected_by_estimate,selected_screening_cost,selected_recall,selected_all_keys_found,A_screening_cost,A_recall,A_all_keys_found,A_stopped_by_breakout,A_data_cut_met_without_all_keys,A_sensitivity_gain_from_keys,A_keys_missing_at_data_cut,B_screening_cost,B_recall,B_all_keys_found,B_stopped_by_breakout,B_data_cut_met_without_all_keys,B_sensitivity_gain_from_keys,B_keys_missing_at_data_cut,C_screening_cost,C_recall,C_all_keys_found,C_stopped_by_breakout,C_data_cut_met_without_all_keys,C_sensitivity_gain_from_keys,C_keys_missing_at_data_cut
Woods_et_al_2022_training_09_seed5201_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3200671704450042,1.0,True,0.3200671704450042,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_100_seed840_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16960537363560033,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_10_seed7688_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3197313182199832,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_11_seed5713_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,91,1,0.1,B,0.2614609571788413,1.0,True,0.3187237615449202,1.0,True,True,False,,,0.2614609571788413,1.0,True,False,False,,0.0,0.1677581863979849,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_12_seed2935_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3202350965575147,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_13_seed7059_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3202350965575147,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16943744752308984,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_14_seed6974_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.31855583543240973,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16792611251049538,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_15_seed4379_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,93,1,0.08,B,0.2617968094038623,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2617968094038623,1.0,True,False,False,,0.0,0.16859781696053736,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_16_seed9856_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.31889168765743076,1.0,True,0.31889168765743076,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.1677581863979849,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_17_seed1785_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,96,1,0.05,A,0.31771620486985724,1.0,True,0.31771620486985724,1.0,True,True,False,,,0.26213266162888327,1.0,True,False,False,,0.0,0.16809403862300587,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_18_seed3520_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3197313182199832,1.0,True,0.3197313182199832,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16926952141057935,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_19_seed8287_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3204030226700252,1.0,True,0.3204030226700252,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16893366918555835,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_20_seed4053_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.32057094878253567,1.0,True,0.32057094878253567,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16943744752308984,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_21_seed7593_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,100,1,0.01,A,0.3210747271200672,1.0,True,0.3210747271200672,1.0,True,True,False,,,0.2626364399664148,1.0,True,False,False,,0.0,0.16977329974811084,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_22_seed2645_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.31889168765743076,1.0,True,0.31889168765743076,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16792611251049538,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_23_seed2324_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3197313182199832,1.0,True,0.3197313182199832,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16926952141057935,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_24_seed2767_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.31889168765743076,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_25_seed4484_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3209068010075567,1.0,True,0.3209068010075567,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16910159529806884,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_26_seed4735_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,93,1,0.08,B,0.2617968094038623,1.0,True,0.3187237615449202,1.0,True,True,False,,,0.2617968094038623,1.0,True,False,False,,0.0,0.16691855583543241,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_27_seed1070_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.1701091519731318,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_28_seed4638_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,91,1,0.1,B,0.2614609571788413,1.0,True,0.3200671704450042,1.0,True,True,False,,,0.2614609571788413,1.0,True,False,False,,0.0,0.20184718723761544,1.0,True,False,True,0.0037735849056603774,1
Woods_et_al_2022_training_29_seed3976_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.31889168765743076,1.0,True,0.31889168765743076,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_30_seed6458_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,94,1,0.07,B,0.2619647355163728,1.0,True,0.31838790931989924,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.1672544080604534,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_31_seed8642_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3195633921074727,1.0,True,0.3195633921074727,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16926952141057935,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_32_seed5592_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3197313182199832,1.0,True,0.3197313182199832,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16977329974811084,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_33_seed6245_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,94,1,0.07,B,0.2619647355163728,1.0,True,0.3200671704450042,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16809403862300587,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_34_seed397_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,91,1,0.1,B,0.2614609571788413,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.2614609571788413,1.0,True,False,False,,0.0,0.1674223341729639,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_35_seed377_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,96,1,0.05,A,0.31905961376994124,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.26213266162888327,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_36_seed9281_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,93,1,0.08,B,0.2617968094038623,1.0,True,0.3192275398824517,1.0,True,True,False,,,0.2617968094038623,1.0,True,False,False,,0.0,0.16943744752308984,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_37_seed8651_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3193954659949622,1.0,True,0.3193954659949622,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_38_seed7117_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16893366918555835,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_39_seed3765_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3193954659949622,1.0,True,0.3193954659949622,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16842989084802687,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_40_seed134_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.32124265323257767,1.0,True,0.32124265323257767,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16943744752308984,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_41_seed1018_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3202350965575147,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16926952141057935,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_42_seed1295_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3204030226700252,1.0,True,0.3204030226700252,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16859781696053736,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_43_seed9194_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,93,1,0.08,B,0.2617968094038623,1.0,True,0.31821998320738876,1.0,True,True,False,,,0.2617968094038623,1.0,True,False,False,,0.0,0.1672544080604534,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_44_seed3740_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3200671704450042,1.0,True,0.3200671704450042,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16910159529806884,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_45_seed6_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3195633921074727,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_46_seed3505_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.31905961376994124,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_47_seed8517_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3187237615449202,1.0,True,0.3187237615449202,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16859781696053736,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_48_seed5641_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,94,1,0.07,B,0.2619647355163728,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16842989084802687,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_49_seed7641_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3198992443324937,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16893366918555835,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_50_seed5325_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,92,1,0.09,B,0.2616288832913518,1.0,True,0.31889168765743076,1.0,True,True,False,,,0.2616288832913518,1.0,True,False,False,,0.0,0.1677581863979849,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_51_seed7500_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,94,1,0.07,B,0.2619647355163728,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16809403862300587,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_52_seed1303_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3202350965575147,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16893366918555835,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_53_seed2245_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16910159529806884,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_54_seed765_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.31905961376994124,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16792611251049538,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_55_seed7342_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,96,1,0.05,A,0.31855583543240973,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.26213266162888327,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_56_seed2953_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3198992443324937,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16977329974811084,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_57_seed2052_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3198992443324937,1.0,True,0.3198992443324937,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16943744752308984,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_58_seed676_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,96,1,0.05,A,0.3210747271200672,1.0,True,0.3210747271200672,1.0,True,True,False,,,0.26213266162888327,1.0,True,False,False,,0.0,0.16910159529806884,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_59_seed3047_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3195633921074727,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_60_seed5444_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.31905961376994124,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16809403862300587,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_61_seed5316_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,96,1,0.05,A,0.31855583543240973,1.0,True,0.31855583543240973,1.0,True,True,False,,,0.26213266162888327,1.0,True,False,False,,0.0,0.1674223341729639,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_62_seed1356_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.3202350965575147,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_63_seed8302_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,91,1,0.1,B,0.2614609571788413,1.0,True,0.3178841309823678,1.0,True,True,False,,,0.2614609571788413,1.0,True,False,False,,0.0,0.16826196473551638,0.9962264150943396,True,False,False,,0
Simonsmeier_et_al_2022_training_12_seed951_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,87,1,0.14,C,0.8743857493857494,0.9993364299933643,True,0.914004914004914,0.9993364299933643,True,False,False,,0.0,0.8942465192465192,0.9993364299933643,True,False,False,,0.0,0.8743857493857494,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_13_seed6811_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,86,1,0.15,C,0.8734643734643734,0.9993364299933643,True,0.913083538083538,0.9993364299933643,True,False,False,,0.0,0.8933251433251433,0.9993364299933643,True,False,False,,0.0,0.8734643734643734,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_14_seed5982_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,84,1,0.17,C,0.8743857493857494,0.9993364299933643,True,0.9823914823914824,1.0,True,False,False,,0.0,0.8942465192465192,0.9993364299933643,True,False,False,,0.0,0.8743857493857494,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_15_seed9798_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,91,1,0.1,B,0.8916871416871417,0.9993364299933643,True,0.9115479115479116,0.9993364299933643,True,False,False,,0.0,0.8916871416871417,0.9993364299933643,True,False,False,,0.0,0.8719287469287469,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_16_seed2854_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,82,1,0.19,C,0.8701883701883701,0.9993364299933643,True,0.9099099099099099,0.9993364299933643,True,False,False,,0.0,0.89004914004914,0.9993364299933643,True,False,False,,0.0,0.8701883701883701,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_17_seed2556_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,83,1,0.18,C,0.8746928746928747,0.9993364299933643,True,0.9143120393120393,0.9993364299933643,True,False,False,,0.0,0.8945536445536445,0.9993364299933643,True,False,False,,0.0,0.8746928746928747,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_18_seed2811_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,87,1,0.14,C,0.8702907452907452,0.9993364299933643,True,0.9099099099099099,0.9993364299933643,True,False,False,,0.0,0.8901515151515151,0.9993364299933643,True,False,False,,0.0,0.8702907452907452,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_19_seed3731_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,83,1,0.18,C,0.8731572481572482,0.9993364299933643,True,0.9127764127764127,0.9993364299933643,True,False,False,,0.0,0.8930180180180181,0.9993364299933643,True,False,False,,0.0,0.8731572481572482,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_05_seed2826_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,87,1,0.14,C,0.8740786240786241,0.9993364299933643,True,0.983005733005733,1.0,True,False,False,,0.0,0.8939393939393939,0.9993364299933643,True,False,False,,0.0,0.8740786240786241,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_06_seed202_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,90,1,0.11,C,0.8741809991809992,0.9993364299933643,True,0.9829033579033579,1.0,True,False,False,,0.0,0.8939393939393939,0.9993364299933643,True,False,False,,0.0,0.8741809991809992,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_07_seed9299_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,85,1,0.16,C,0.8718263718263718,0.9993364299933643,True,0.9114455364455365,0.9993364299933643,True,False,False,,0.0,0.8916871416871417,0.9993364299933643,True,False,False,,0.0,0.8718263718263718,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_08_seed857_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,86,1,0.15,C,0.8718263718263718,0.9993364299933643,True,0.9114455364455365,0.9993364299933643,True,False,False,,0.0,0.8916871416871417,0.9993364299933643,True,False,False,,0.0,0.8718263718263718,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_09_seed2421_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,88,1,0.13,C,0.8722358722358723,0.9993364299933643,True,0.9118550368550369,0.9993364299933643,True,False,False,,0.0,0.891994266994267,0.9993364299933643,True,False,False,,0.0,0.8722358722358723,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_100_seed3184_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,87,1,0.14,C,0.8740786240786241,0.9993364299933643,True,0.9817772317772318,1.0,True,False,False,,0.0,0.8939393939393939,0.9993364299933643,True,False,False,,0.0,0.8740786240786241,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_10_seed3408_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,82,1,0.19,C,0.8726453726453727,0.9993364299933643,True,0.9123669123669124,0.9993364299933643,True,False,False,,0.0,0.8925061425061425,0.9993364299933643,True,False,False,,0.0,0.8726453726453727,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_11_seed704_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,90,1,0.11,C,0.8740786240786241,0.9993364299933643,True,0.9136977886977887,0.9993364299933643,True,False,False,,0.0,0.8938370188370188,0.9993364299933643,True,False,False,,0.0,0.8740786240786241,0.9993364299933643,True,False,False,,0
Woods_et_al_2022_training_64_seed3247_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3192275398824517,1.0,True,0.3192275398824517,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16876574307304787,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_65_seed5125_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,94,1,0.07,B,0.2619647355163728,1.0,True,0.32073887489504616,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.16842989084802687,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_66_seed2503_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,98,1,0.03,A,0.3192275398824517,1.0,True,0.3192275398824517,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.16910159529806884,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_67_seed9844_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,97,1,0.04,A,0.3197313182199832,1.0,True,0.3197313182199832,1.0,True,True,False,,,0.2623005877413938,1.0,True,False,False,,0.0,0.16859781696053736,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_68_seed5730_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,100,1,0.01,A,0.31905961376994124,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.2626364399664148,1.0,True,False,False,,0.0,0.16893366918555835,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_69_seed6187_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,95,1,0.06,B,0.2619647355163728,1.0,True,0.31905961376994124,1.0,True,True,False,,,0.2619647355163728,1.0,True,False,False,,0.0,0.1674223341729639,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_70_seed7513_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.32073887489504616,1.0,True,0.32073887489504616,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.17027707808564232,0.9962264150943396,True,False,False,,0
Woods_et_al_2022_training_71_seed3517_LR_SBERT_complete_results_key1.csv,LR_SBERT,5955,265,264,99,1,0.02,A,0.3200671704450042,1.0,True,0.3200671704450042,1.0,True,True,False,,,0.2624685138539043,1.0,True,False,False,,0.0,0.1701091519731318,0.9962264150943396,True,False,False,,0
Simonsmeier_et_al_2022_training_20_seed6425_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,85,1,0.16,C,0.8735667485667485,0.9993364299933643,True,0.9131859131859131,0.9993364299933643,True,False,False,,0.0,0.8934275184275184,0.9993364299933643,True,False,False,,0.0,0.8735667485667485,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_21_seed1695_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,88,1,0.13,C,0.872952497952498,0.9993364299933643,True,0.9125716625716626,0.9993364299933643,True,False,False,,0.0,0.8927108927108927,0.9993364299933643,True,False,False,,0.0,0.872952497952498,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_22_seed7070_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,83,1,0.18,C,0.8743857493857494,0.9993364299933643,True,0.9834152334152334,1.0,True,False,False,,0.0,0.8942465192465192,0.9993364299933643,True,False,False,,0.0,0.8743857493857494,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_23_seed3957_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,87,1,0.14,C,0.8763308763308764,0.9993364299933643,True,0.9823914823914824,1.0,True,False,False,,0.0,0.8961916461916462,0.9993364299933643,True,False,False,,0.0,0.8763308763308764,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_24_seed6885_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,82,1,0.19,C,0.8728501228501229,0.9993364299933643,True,0.9125716625716626,0.9993364299933643,True,False,False,,0.0,0.8927108927108927,0.9993364299933643,True,False,False,,0.0,0.8728501228501229,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_25_seed3901_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,84,1,0.17,C,0.8744881244881245,0.9993364299933643,True,0.9835176085176085,1.0,True,False,False,,0.0,0.8943488943488943,0.9993364299933643,True,False,False,,0.0,0.8744881244881245,0.9993364299933643,True,False,False,,0
Simonsmeier_et_al_2022_training_26_seed800_LR_SBERT_complete_results_key1.csv,LR_SBERT,9768,1507,1506,88,1,0.13,C,0.8733619983619983,0.9993364299933643,True,0.9129811629811629,0.9993364299933643,True,False,False,,0.0,0.8931203931203932,0.9993364299933643,True,False,False,,0.0,0.8733619983619983,0.9993364299933643,True,False,False,,0
